"location_name","year","hale","le","dalys"
"Canada",1990,67.797927,77.4331035068,24041.7395252
"Canada",2016,71.199189,81.8542812204,19396.2503721
"Greenland",1990,54.006881,61.4013389909,60072.3830446
"Greenland",2016,61.257469,69.9993933753,36840.2241273
"United States",1990,65.261344,75.4503449877,28162.3799844
"United States",2016,67.691772,78.8564862259,23975.164975
"Australia",1990,67.098657,77.0217177942,24939.4191593
"Australia",2016,71.534358,82.5193604401,18780.7610653
"New Zealand",1990,66.075235,75.6438073417,26872.0591661
"New Zealand",2016,70.795579,81.4796591501,19812.008735
"Brunei",1990,64.29348,73.3442806643,29876.9622987
"Brunei",2016,67.477694,76.8822559373,24267.7312086
"Japan",1990,69.458932,78.9447669914,21118.5552908
"Japan",2016,73.162155,83.9445359159,16853.1228289
"Singapore",1990,66.75474,75.4114123746,25644.1548643
"Singapore",2016,73.623923,83.7348989654,16420.9083591
"South Korea",1990,63.428308,72.0305903973,31975.87826
"South Korea",2016,70.762083,80.9979808845,19372.3690113
"Andorra",1990,68.803579,79.6427862496,21914.6850197
"Andorra",2016,71.19659,82.5233151026,18806.6468623
"Austria",1990,66.211958,75.6878244813,26260.5173152
"Austria",2016,70.935203,81.53686633,19050.6440278
"Belgium",1990,66.313078,75.9919989796,25948.3637159
"Belgium",2016,70.112835,80.9131232778,20006.2385997
"Cyprus",1990,65.641762,74.9186786899,27176.5573741
"Cyprus",2016,70.195043,80.4762418577,19794.2875113
"Denmark",1990,65.589969,75.1997421402,27185.268984
"Denmark",2016,69.878781,80.8248888935,20245.9211885
"Finland",1990,65.106227,75.0589903853,27850.1237577
"Finland",2016,70.534737,81.7430467838,19505.1663084
"France",1990,67.388072,77.1605162075,24714.5110013
"France",2016,71.706973,82.3433128385,18757.2100025
"Germany",1990,65.773103,75.4679335055,26789.9903271
"Germany",2016,70.232814,80.9333526701,19828.0167811
"Greece",1990,67.372737,76.9976857534,24296.1013144
"Greece",2016,70.630088,80.9737744651,19554.2288396
"Iceland",1990,67.9584,78.0162078783,23246.2720079
"Iceland",2016,71.479364,82.2708287388,18253.9566957
"Ireland",1990,65.465296,74.844784738,27347.3062546
"Ireland",2016,70.446469,81.142843629,19737.7978011
"Israel",1990,66.441425,75.842837691,25745.8466348
"Israel",2016,71.438877,82.1354046252,18446.7086373
"Italy",1990,67.254195,77.0228609686,24464.1273947
"Italy",2016,71.75303,82.3415508101,18030.8821186
"Luxembourg",1990,65.225898,75.1859196231,27633.098127
"Luxembourg",2016,70.960159,82.1199112178,18820.5604298
"Malta",1990,66.362754,75.7714068885,25690.2935781
"Malta",2016,70.927852,81.4288660798,19115.0246133
"Netherlands",1990,67.013469,77.0304959266,24535.2459452
"Netherlands",2016,70.704599,81.6445492107,19101.7191697
"Norway",1990,67.123112,76.8126544862,24595.7175947
"Norway",2016,71.492038,82.097782011,18246.1354307
"Portugal",1990,64.935638,74.3237828323,28867.9015373
"Portugal",2016,70.511677,80.9864493366,19737.2798822
"Spain",1990,67.656574,77.1229843565,24223.4630923
"Spain",2016,72.618353,82.9690951586,17281.1300813
"Sweden",1990,67.489539,77.6273026648,23789.7067282
"Sweden",2016,70.884044,82.0478848786,18828.1375608
"Switzerland",1990,67.165258,77.4858401884,24591.7609198
"Switzerland",2016,71.932213,83.1767646575,17932.9264975
"United Kingdom",1990,65.890283,75.723300808,26505.7293614
"United Kingdom",2016,70.048513,80.8996040088,20257.3043523
"Argentina",1990,63.352294,72.0840437009,32880.5684893
"Argentina",2016,67.223795,76.7058593092,25297.2694769
"Chile",1990,64.23721,73.5014691704,30605.9180375
"Chile",2016,69.899128,80.3157699363,21414.5466876
"Uruguay",1990,64.239649,72.7488804921,30999.5936777
"Uruguay",2016,67.934577,77.328544295,24195.6734511
"Belarus",1990,61.647056,70.7415429958,35433.0915753
"Belarus",2016,64.090518,73.6002244216,29918.0995327
"Estonia",1990,60.880116,70.1696399951,36766.4956141
"Estonia",2016,67.164914,77.579666814,24365.9249554
"Latvia",1990,60.385511,69.6000365191,37917.2412727
"Latvia",2016,65.211342,75.0595751062,27760.7740065
"Lithuania",1990,62.005699,71.483220115,34282.6029914
"Lithuania",2016,65.200802,75.1601730339,27921.1612974
"Moldova",1990,58.703039,67.2696735665,42606.4086447
"Moldova",2016,63.276108,72.2462272095,31845.3477625
"Russia",1990,60.17521,69.167082573,38664.8309121
"Russia",2016,61.910338,70.8653882952,34980.8414315
"Ukraine",1990,61.057383,70.077916498,36653.2286265
"Ukraine",2016,63.029955,72.1014143786,32465.5140899
"Albania",1990,64.41328,73.7348638494,30713.0102077
"Albania",2016,67.769138,77.5949715465,23845.5291506
"Bosnia and Herzegovina",1990,63.12699,72.1353826254,32128.0190115
"Bosnia and Herzegovina",2016,67.297442,77.5513393365,23716.1966332
"Bulgaria",1990,62.419938,71.3648924923,33665.0251093
"Bulgaria",2016,65.595992,75.0264913686,26981.4481032
"Croatia",1990,63.183591,72.217519666,31790.9806374
"Croatia",2016,67.416612,77.3605355416,23393.8755298
"Czech Republic",1990,62.459151,71.7989876149,32971.5839868
"Czech Republic",2016,68.103116,79.1048385088,21893.0088083
"Hungary",1990,60.472243,69.4899953543,37702.6676066
"Hungary",2016,65.823264,75.7468720562,26133.6784363
"Macedonia",1990,61.977851,70.4983010502,35258.2990954
"Macedonia",2016,65.586662,74.8206591486,26881.0799822
"Montenegro",1990,65.42274,75.0447888375,27736.7395258
"Montenegro",2016,67.126585,77.0353150733,24141.0339885
"Poland",1990,61.905357,70.8951693801,34677.7263761
"Poland",2016,67.595814,77.9305180191,23439.8915792
"Romania",1990,60.834626,69.8446412361,37311.3647982
"Romania",2016,65.544653,75.2301287457,27097.9843175
"Serbia",1990,63.383616,72.5826509571,31557.2867808
"Serbia",2016,66.065229,75.9023306653,25926.4471411
"Slovakia",1990,61.987276,70.9548031855,34372.3824003
"Slovakia",2016,66.881226,76.9663833309,24388.864745
"Slovenia",1990,63.758894,73.6357314159,30001.1294002
"Slovenia",2016,69.323761,80.8381681894,20222.5494685
"Armenia",1990,61.635552,70.3341900685,36415.0492434
"Armenia",2016,66.469754,75.8507684779,25850.5925229
"Azerbaijan",1990,58.431977,66.315235243,44731.4140738
"Azerbaijan",2016,63.400735,72.0311779361,32589.3489135
"Georgia",1990,61.487884,69.7007977802,37015.0097468
"Georgia",2016,65.012013,73.9166896335,28943.8071062
"Kazakhstan",1990,59.360095,67.9195110434,41194.1637968
"Kazakhstan",2016,62.666836,71.749910149,33228.9721859
"Kyrgyzstan",1990,57.714282,66.0481918069,45788.4615743
"Kyrgyzstan",2016,62.454696,71.2377125749,34237.0391035
"Mongolia",1990,55.073511,62.4422782024,53593.1525984
"Mongolia",2016,59.908182,68.1209754079,40022.7460235
"Tajikistan",1990,57.010615,64.9573495955,48551.4351251
"Tajikistan",2016,63.094522,71.7628732123,33568.0927196
"Turkmenistan",1990,56.250284,63.7326058461,50521.0777358
"Turkmenistan",2016,62.059889,70.2434697214,35859.163667
"Uzbekistan",1990,59.760275,68.3513128432,40582.8258278
"Uzbekistan",2016,61.80366,70.2909283297,35747.3896122
"Colombia",1990,63.096475,71.3159799528,34262.0564053
"Colombia",2016,69.093092,78.2585886509,22988.2658234
"Costa Rica",1990,67.593066,76.52080731,24953.3202157
"Costa Rica",2016,71.162251,80.983341548,20039.3977978
"El Salvador",1990,60.122353,68.1272542587,41254.1883214
"El Salvador",2016,66.478141,75.4662003363,27501.8882312
"Guatemala",1990,56.691856,64.6184540428,49328.3847506
"Guatemala",2016,63.863262,72.7535913956,32441.6790746
"Honduras",1990,59.472726,67.196923169,42314.7944738
"Honduras",2016,64.268561,72.6688485518,30956.5923389
"Mexico",1990,62.782971,71.508886744,34583.4703448
"Mexico",2016,67.06239,76.3785156251,25860.9536019
"Nicaragua",1990,64.606176,73.637498244,33262.629065
"Nicaragua",2016,68.91763,78.2657878744,23324.7989305
"Panama",1990,66.178061,74.9094208277,28007.2921327
"Panama",2016,69.377612,78.9155436818,23042.0510315
"Venezuela",1990,64.25387,72.6237944035,31279.7848479
"Venezuela",2016,66.5611,75.4296081571,27485.8297815
"Bolivia",1990,53.560066,61.3324462486,57547.1653411
"Bolivia",2016,63.996429,73.2402676617,31613.7264695
"Ecuador",1990,62.662909,71.3802328005,35371.8325665
"Ecuador",2016,68.201199,77.8268721848,24776.0506481
"Peru",1990,60.885996,69.4167835303,40120.2473905
"Peru",2016,69.842054,79.7400457488,21947.3591669
"Antigua and Barbuda",1990,64.832417,73.8356862732,29178.2353252
"Antigua and Barbuda",2016,67.528645,77.3554399374,24720.2604109
"The Bahamas",1990,62.058206,70.5276240299,35543.0188886
"The Bahamas",2016,64.878683,73.8574251038,29562.8599356
"Barbados",1990,64.745398,73.7022471562,29562.4368174
"Barbados",2016,66.919317,76.6215193893,25939.4034823
"Belize",1990,62.767078,71.5699414593,34496.3122487
"Belize",2016,63.052881,71.8383225573,32934.183766
"Bermuda",1990,61.614735,69.694118618,36258.2882992
"Bermuda",2016,69.254101,78.9275653191,21343.1951314
"Cuba",1990,65.641092,74.7673109881,28102.9478624
"Cuba",2016,69.187696,78.9136283202,21845.1479756
"Dominica",1990,63.523461,72.0430447602,32016.9914302
"Dominica",2016,64.066423,72.9247510031,31237.8605055
"Dominican Republic",1990,62.344632,70.7387049755,36429.9255157
"Dominican Republic",2016,66.412778,75.6367618159,27827.0082718
"Grenada",1990,61.914969,70.9293242445,35111.2002573
"Grenada",2016,62.686083,71.5592015774,33517.6277136
"Guyana",1990,56.207966,64.1755484285,49808.7634974
"Guyana",2016,59.173237,67.7407388248,41625.3226872
"Haiti",1990,47.066598,53.9902781389,78369.231177
"Haiti",2016,55.896938,63.9653687246,50579.7452455
"Jamaica",1990,65.032086,74.4294698601,29812.9957787
"Jamaica",2016,65.341569,74.8952746981,28550.7697861
"Puerto Rico",1990,64.902864,73.9639329333,29882.5973965
"Puerto Rico",2016,68.617508,78.7666489475,23182.3929773
"Saint Lucia",1990,62.436355,71.8741518381,34012.6429289
"Saint Lucia",2016,66.37888,76.1257999655,27366.7515515
"Saint Vincent and the Grenadines",1990,61.985961,70.6543506393,35366.1682309
"Saint Vincent and the Grenadines",2016,62.702376,71.6384819035,33454.790948
"Suriname",1990,61.313906,70.0752846676,37728.8537917
"Suriname",2016,62.244259,71.3392667225,35091.0339416
"Trinidad and Tobago",1990,60.483811,68.9973784532,38581.686244
"Trinidad and Tobago",2016,63.513632,73.0193978143,32087.9532928
"Virgin Islands, U.S.",1990,64.069836,72.6039110551,31144.7836923
"Virgin Islands, U.S.",2016,65.543889,74.6204970973,27871.7406459
"Brazil",1990,59.775073,68.4113864808,40703.2310671
"Brazil",2016,65.48042,75.2441879877,28424.6783421
"Paraguay",1990,65.094069,74.5855867933,29747.07029
"Paraguay",2016,64.960333,74.4794868827,29122.5173768
"China",1990,59.851563,66.9596124609,41694.20705
"China",2016,67.854885,76.3625512023,24010.0061268
"North Korea",1990,63.958558,71.9468927629,31942.4213896
"North Korea",2016,63.011234,70.851390888,33834.8381709
"Taiwan",1990,65.332791,73.9382923952,28150.6276981
"Taiwan",2016,70.144787,79.6641294398,20474.7182136
"Cambodia",1990,49.862321,57.3874582629,68624.694428
"Cambodia",2016,60.11584,68.747882962,39369.5803543
"Indonesia",1990,56.138083,63.6217910833,50790.249787
"Indonesia",2016,62.945814,71.6605087775,33131.4238672
"Laos",1990,46.057766,52.423586416,82328.5636596
"Laos",2016,59.081862,67.247982365,42883.0441616
"Malaysia",1990,63.150522,71.5678796302,32642.2256827
"Malaysia",2016,66.422621,75.5581462432,25737.1984377
"Maldives",1990,54.40299,62.4645403685,55071.9981688
"Maldives",2016,69.126681,79.3236945489,21308.8826662
"Mauritius",1990,60.722221,69.2511258597,37934.8799963
"Mauritius",2016,64.858583,74.5794266775,28647.7260033
"Myanmar",1990,51.308785,58.5701231901,64635.9221207
"Myanmar",2016,61.557605,70.0161157894,36355.1709756
"Philippines",1990,58.627813,67.0331596804,43638.01155
"Philippines",2016,61.643446,70.1022763987,36095.1479133
"Sri Lanka",1990,62.434599,71.2853431564,34906.6228096
"Sri Lanka",2016,67.750588,77.4124094072,24050.0801474
"Seychelles",1990,61.208584,69.0319211893,37413.3751762
"Seychelles",2016,64.949875,73.6782942925,29035.6812083
"Thailand",1990,61.889188,70.5643108666,35945.6492668
"Thailand",2016,67.935151,77.7049564694,24351.3031253
"Timor-Leste",1990,50.336158,57.8971323852,67034.4863317
"Timor-Leste",2016,63.292858,72.6695391961,32577.5873111
"Vietnam",1990,60.152069,68.2278522201,40147.5667668
"Vietnam",2016,65.911841,74.5505039661,27378.9985507
"American Samoa",1990,61.198191,70.4766325498,36001.2475825
"American Samoa",2016,62.638977,72.3917147624,32458.5636606
