measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,48407.8380601,51762.0270993,45385.4045521
2,DALYs (Disability-Adjusted Life Years),81,Germany,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,26789.9903271,30022.677728399998,23893.7278498
2,DALYs (Disability-Adjusted Life Years),42,Central Europe,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34740.6518582,38128.4773747,31772.543044700004
2,DALYs (Disability-Adjusted Life Years),35436,T?ky?,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20931.6034126,23862.7754032,18374.647003
2,DALYs (Disability-Adjusted Life Years),23,Kiribati,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,66425.4713985,72752.35136130001,60775.279948
2,DALYs (Disability-Adjusted Life Years),178,Eritrea,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,84116.2479741,89934.2419165,78688.1200568
2,DALYs (Disability-Adjusted Life Years),50,Montenegro,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24141.0339885,27426.191512800004,20987.6428107
2,DALYs (Disability-Adjusted Life Years),140,Bahrain,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,39073.1920206,43364.8405023,34590.272776499995
2,DALYs (Disability-Adjusted Life Years),120,Andean Latin America,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,42030.2334752,45370.2829049,38913.1260372
2,DALYs (Disability-Adjusted Life Years),199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,77954.0519521,82698.473738,73683.766635
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36001.2475825,39864.6267085,32268.4119768
2,DALYs (Disability-Adjusted Life Years),127,El Salvador,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,27501.8882312,31203.1682222,24340.515811399997
2,DALYs (Disability-Adjusted Life Years),159,South Asia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,64247.9151244,67988.3897381,60728.380359099996
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,30713.010207699997,33991.5492485,27679.8303438
2,DALYs (Disability-Adjusted Life Years),179,Ethiopia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,104615.93414000001,110317.40231,99305.8565699
2,DALYs (Disability-Adjusted Life Years),35456,Okayama,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,20801.596163,23787.67223,18254.3208507
2,DALYs (Disability-Adjusted Life Years),121,Bolivia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,57547.1653411,61810.5239183,53513.8822825
2,DALYs (Disability-Adjusted Life Years),142,Iran,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,44332.028302499995,50456.724504399994,38637.7557745
2,DALYs (Disability-Adjusted Life Years),4619,North West England,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,21433.2707112,24659.786401100002,18516.6266186
2,DALYs (Disability-Adjusted Life Years),30,Vanuatu,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,50677.7000309,58535.047743099996,43859.9825257
2,DALYs (Disability-Adjusted Life Years),63,Ukraine,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36653.2286265,40119.7681925,33387.3623977
2,DALYs (Disability-Adjusted Life Years),4666,San Luis Potosí,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,34019.8785795,37268.881767,30920.0721617
2,DALYs (Disability-Adjusted Life Years),101,Canada,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24041.739525200002,27134.2880831,21292.971201
2,DALYs (Disability-Adjusted Life Years),4,"Southeast Asia, East Asia, and Oceania",3,Both,27,Age-standardized,294,All causes,3,Rate,1990,43059.7891899,46129.2694671,40324.1753358
2,DALYs (Disability-Adjusted Life Years),305,Bermuda,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36258.2882992,39914.4886712,32979.986701300004
2,DALYs (Disability-Adjusted Life Years),4665,Quintana Roo,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,29985.3482077,33249.2191358,26948.535501300004
2,DALYs (Disability-Adjusted Life Years),69,Singapore,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16420.9083591,19484.532366000003,13551.8516984
2,DALYs (Disability-Adjusted Life Years),200,Benin,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,75301.0976431,80563.4896156,70367.717757
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,89708.9444092,98257.51348190001,81211.8620899
2,DALYs (Disability-Adjusted Life Years),102,United States,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,28162.3799844,31471.3701036,25145.1520461
2,DALYs (Disability-Adjusted Life Years),82,Greece,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,24296.101314400003,27487.5148279,21532.846304799998
2,DALYs (Disability-Adjusted Life Years),4645,Baja California Sur,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,30989.2643166,34382.544872800005,27763.6772503
2,DALYs (Disability-Adjusted Life Years),26,Papua New Guinea,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,73911.1885447,82598.5078386,65846.94965370001
2,DALYs (Disability-Adjusted Life Years),11,Indonesia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,33131.4238672,36221.84763,30266.609893899997
2,DALYs (Disability-Adjusted Life Years),122,Ecuador,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,35371.8325665,38581.382814900004,32348.6100506
2,DALYs (Disability-Adjusted Life Years),62,Russia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,38664.8309121,42330.3507678,34821.083551300006
2,DALYs (Disability-Adjusted Life Years),148,Morocco,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,29995.8952747,34077.0184502,26440.7551334
2,DALYs (Disability-Adjusted Life Years),161,Bangladesh,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,67229.4608816,71461.8923256,63011.0310966
2,DALYs (Disability-Adjusted Life Years),141,Egypt,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,49370.177264800004,53718.5405752,45487.829283800005
2,DALYs (Disability-Adjusted Life Years),89,Netherlands,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19101.719169699998,22303.600987399997,16078.158550900002
2,DALYs (Disability-Adjusted Life Years),35457,Hiroshima,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,21040.3776002,23952.763831599998,18495.7800775
2,DALYs (Disability-Adjusted Life Years),4618,North East England,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,21461.5406736,24688.819056700002,18503.8968863
2,DALYs (Disability-Adjusted Life Years),44634,High-middle SDI,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36236.9302433,39616.0485763,33254.6486364
2,DALYs (Disability-Adjusted Life Years),180,Kenya,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,56028.2486104,59557.673951000004,52841.8205139
2,DALYs (Disability-Adjusted Life Years),24,Marshall Islands,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,49354.898790399995,53965.682599,45194.4627973
2,DALYs (Disability-Adjusted Life Years),5,East Asia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,41273.1513954,44154.9441673,38592.106357900004
2,DALYs (Disability-Adjusted Life Years),128,Guatemala,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,32441.6790746,37709.8556237,27479.4992812
